Report date,Well ,Project,Mid Night Depth (ft),Comments,Formation,Spud date,Avg. ROP (ft/hr),Flow rate (gpm),Min. RPM (rpm),Max. RPM (rpm),Max. WOB (kip),Min. WOB (kip),TFA (in²)
13/01/2018,BB-1201,BAB,"2,430.00","R-1: DISCUSSED WELL KILLING SHEET, SP2R4, LPR 3 / GR 3, TRT - MEDIC & FIRST AIDER. R-2: CONDUCTED KICK DRILL WHILE TRIPPING, CREW SECURED WELL WITHIN 1-1/2 MIN., GOOD RESPONSE. R-3: PUMPED 30 BBLS H.V.P SWEEP EVERY SINGLE. R-4: DRL'D 1ST 100 FT BELOW SHOE W/ CONTROLLED PARAMETERS (50 RPM, 650 GPM). WASH UP & REAM DOWN LAST SINGLE ONLY EACH STD, HAD +/- 50 BPH DYNAMIC LOSSES.",DAMMAM F'MTN,6/1/2018 15:30,77.3,902.9,80,90,25,15,1.74
14/01/2018,BB-1128,BAB,"7,300.00",R:1-LPR04 / GR04/  VERIFY ISOLATION BEFORE WORK  R:2-GOOD RESPONSR FROM CREW    NEXT LOCATION: 1ST - HB2-INJ 17 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]  2ND- HB2-PR13 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]    ,FIQA F'MTN,25/12/2017 6:00:00 PM,41.3,476.5,80,80,25,20,1.167
15/01/2018,BB-1218,BAB,770,"[R-1] LPR #  WORK UNDER SUSPENDED LOADS.   *WATER WELL #1 DRY AND #2 PROD 20 BPH. RESOURCES AVAILABLE:  3 SUPER KWS, 3 NORMAL KWS, 2  CRANE    ** NEXT LOCATION BB-1232: PRODUCTION FS HANDOVER LOCATION AND MOVING ROAD.",,14/01/2018 11:00:00 PM,69.6,850,96,110,40,20,
15/01/2018,BB-1216,BAB,"9,540.00","R-1: DISCUSSED LPR #08 SUSPENDED LOAD  & SPPR #06 MONITOR MUD WEIGHT IN &  OUT  R-2: GOOD RESPONSE FROM ALL CREW  NOTE: NEXT LOCATION BB-1246 80% READY, RIG MOVE ROAD 90% READY NOTE: CONDUCT KICK DRILL WHILE TRIPPING  ( GOOD RESPONSE)",BAB MEMBER,19/12/2017 6:00:00 AM,36,301,50,50,10,5,0.464
17/01/2018,BB-1201,BAB,"5,705.00","R-1: DISCUSSED SP2R8, LPR 7 / GR 7, OIL SPILLS / WASTE MANAGEMENT.\t\t\t\t\t\t R-2: WOB: 5-10 KIPS, 70 RPM, 700 GPM, 500 SCFM, 1100-1300 PSI\t\t\t\t\t\t\t R-3: STOPPED DRILLING DUE TO SHORTAGE OF WATER\t\t\t\t\t\t\t R-4:  MEANWHILE COLLECTING WATER\t\t\t\t\t\t\t ",UMM ER RADHUMA F'MTN,6/1/2018 15:30,63.2,,,,,,1.74
17/01/2018,BB-1216,BAB,"12,710.00",R-1: DISCUSSED LPR #01 ROAD SAFETY RULES  & SPPR #08 R-2: GOOD RESPONSE FROM ALL CREW. WELL SECURED IN 40 SECONDS.  R-3: GOOD RESPONSE FROM CREW. HEAD COUNT DONE IN 3 MINS. FIREFIGHTING TEAM MOBILIZED IN 3 MINS. * NEXT LOCATION: BB-1246 90% READY,BAB MEMBER,19/12/2017 6:00:00 AM,75.9,301,120,120,15,10,0.464
6/1/2018,BB-1214,BAB,"6,791.00","R-1: FLOW TESTING / RIG MOVE SAFETY,SP²R6/LPR#6   NEXT LOCATION : BB-1220: \t\t\t\t\t\t *LOCATION AND RIG MOVE ROAD HANDOVER ARE READY, ARRANGMENT WITH FIELD SERVICE TO TAKE SURVEY WITH ADNOC DRILLING RIG MANAGER HAS BEEN ARRANGED THE FOLLOWING SATARDAY\t\t\t\t\t\t ",SIMSIMA F'MTN,28/12/2017 2:30:00 PM,64.4,752.4,125,135,25,20,1.208
8/1/2018,BB-1128,BAB,"5,773.00","R:1:   LPR8/GR8  DO NOT WALK OR STAY UNDER A SUSPENDED LOAD R:2- 40-50 WOB, 80 RPM , 800 GPM R:3- GOOD RESPONSE FROM CREW    NEXT LOCATION: 1ST - HB2-INJ 17 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]  2ND- HB2-PR13 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]   ",FIQA F'MTN,25/12/2017 6:00:00 PM,10.5,800,80,80,50,40,0.994
12/1/2018,BB-1214,BAB,"7,498.00","[R-1] MUD LOG BOOK / TRT-RESCUE TEAM ROLE ,SP²R3/LPR#2 [R-2] FILL STRING EVERY 10 STDS  * SPR @ 7314 FT  * MI SWACO REPLACED MS IN 8 1/2"" SECTION * HAWK JAW OF IRON ROUGHNECK BROKE DOWN ON 27-11-2017 AND WE STILL WAITING ON SPARE PART. USING MANUAL TONG AND CAT HEAD WHILE M/U B/D CONNECTION   NEXT LOCATION : BB-1220:  - ADNOC DRILLING STARTED PREPARING LOCATION: 30 % READY - 2 WATER WELLS REQEST SENT VIA E-RIG MOVE. REQ NO. 20223 ",SHILAIF F'MTN,28/12/2017 2:30:00 PM,28.4,551.8,110,120,25,20,0.907
16/01/2018,BB-1128,BAB,"8,459.00","R-1: LPR06 / GR/6 PREVENTION EQUIPMENT WORKING HEIGHT R-2:OBSERVE SOME BUBBLE INSIDE ANULUS WHILE PUMP OFF,SHUT IN WELL ZERO PRESSURE,CIRC. HOLE THROUGH CHOKE AND INCREASE MUD WT PRECAUTIONALY TO 82 PCF R-3:OBSERVE SOME BUBBLE INSIDE ANULUS WHILE PUMP OFF ,SHUT IN WELL ZERO PRESSURE,CIRC. HOLE THROUGH CHOKE AND INCREASE MUD WT PRECAUTIONALY TO 84 PCF R-4: GOOD RESPONSE FROM CREW   NEXT LOCATION; BB-1273 & BB-1274 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]   ",FIQA F'MTN,25/12/2017 6:00:00 PM,29.3,451.5,90,90,25,10,1.167
18/01/2018,BB-1201,BAB,"5,875.00","R-1:  DISCUSSED SP2R9, LPR 8 / GR 8, LIFTING OPERATIONS. R-2:  WOB: 6-10 KLBS,  600 GPM, 500 CFM.\t\t\t\t\t\t R-3:  GOOD RESPONSE FROM CREW.\t R-4:  WOB: 15-18 KLBS,  500 - 600 GPM, 300 - 500 CFM. R-5:  WOB: 10-15 KLBS,  500 GPM, 300 - 500 CFM. \t\t\t\t\t\t ",UMM ER RADHUMA F'MTN,6/1/2018 15:30,26.2,600,500,600,18,15,1.74
19/01/2018,BB-1207,BAB,"10,835.00","[R-1]\tDISCUSSED LPR# 9/GR# 9 (BANNED TOOLS), SP2R RULE # 1 (PLANNING), KICK DRILL WHILE TRIPPING & DROP OBJECTS.  **ONE SET (4 SENSORS) OF REMOTE GAS DETECTION SYSTEM INSTALLED AS PER SSSP (ALMANSOORI).  BAB-1217 WAITING ON ASSET APPROVAL FOR NEW PROPOSED COORDINATES (SEND OFFICIAL LETTER TO CICPA TO APROVE 1.2 KM LOCATION) BAB-1292: NEED TO SHIFT COORDINATES DUE GAS WELL RESTRICTION BAB-1293: RECEIVED HO FROM GEODETICHS ON 18/01/18.",DENSE BELOW 18,,39,551.8,120,120,30,20,0.907
25/01/2018,BB-1128,BAB,"8,701.00","R-1- MONITOR DISPLACEMENT OF METAL WITH TRIP TANK AND TRIP SHEET.         NO LOSSES RECORDED.      R:2 - LPR5/ GR5- CONFINED  SPACE SAFETY ( SP'R7 BOP FUNCTION TEST)  R:3- ACTIVATE H2S  ALARM AND IDENTIFY KICK INDICATION. DRILLING CREW         PROCEED TO WEAR RESPIRATORY EQUIPMENT, CONNECT TO THE         CASCADE AND PROCEED TO SHUT IN THE WELL. VERY GOOD TRAINING.         ALMANSOORI H2S ENGINEER TRAIN PERSONAL OFF LINE.  R:5- MONITOR WITH TRIP SHEET AND TRIP TANK THE VOLUME OF DRILLING         FLUID USED TO FILL UP THE WELL.",THAMAMA ZONE C,25/12/2017 6:00:00 PM,11.5,220,60,90,10,6,
27/01/2018,BB-1214,BAB,"16,878.00","R-1: DISCUSSED PVT TEST/ 100% HSE MEANS,SP²R9,LPR#7/GR#7 * HAWK JAW OF IRON ROUGHNECK BROKE DOWN ON 27-11-2017 AND WE STILL WAITING ON SPARE PART. USING PIPE SPINNER AND RIG TONGS NEXT LOCATION : BB-1220: 95 % READY * LOCATION READY - FIRST WATER WELL PRODUCE 50 BPH , SECOND WELL UNDER PROGRESS 2ND NEXT LOCATION : BB-1300:  * NEW COORDINATES RECEIVED, REQUEST TO HANDOVER LOCATION HAS BEEN SENT TO BAB FIELD SERVICE ",THAMAMA ZONE G,28/12/2017 2:30:00 PM,47.8,290,120,130,15,5,0.464
28/01/2018,BB-1246,BAB,593,R-1 :  DISCUSSED SPPR #02 TORQUE & DRAG SIMULATION & LPR #02 PTW R-2:  TAG CEMENT @ 146'. ,MIOCENE CLASTICS,27/01/2018 5:00:00 PM,43.3,752.4,50,80,25,10,0.785
28/01/2018,BB-1218,BAB,"8,388.00",[R1] DISCISSED LPR#2 OBTAIN VALID PTW [R]2 * WASH UP AND REAM DOWN EVERY STD. * FLOW CHECKED HOLE @ 8130' ZONE A. WELL STATIC. *FLOW CHECKED HOLE @ 8205' ZONE B WELL STATIC.,THAMAMA ZONE B,14/01/2018 11:00:00 PM,57.7,550,,120,30,20,0.907
16/01/2018,BB-1216,BAB,"11,040.00",R-1: DISCUSSED LPR #09 BANNED TOOLS  & SPPR #07 ,BAB MEMBER,19/12/2017 6:00:00 AM,66.7,301,120,120,15,10,0.464
18/01/2018,BB-1207,BAB,"10,055.00","[R-1]\tDISCUSSED LPR# 8/GR# 8 (SUSPENDED LOAD), SP2R RULE # 9 (HOLE CLEANING IN HH), KICK DRILL WHILE DRILLING & LIFTING OPERTION.  **ONE SET (4 SENSORS) OF REMOTE GAS DETECTION SYSTEM INSTALLED AS PER SSSP (ALMANSOORI).  BAB-1217 WAITING ON ASSET APPROVAL FOR NEW PROPOSED COORDINATES (SEND OFFICIAL LETTER TO CICPA TO APROVE 1.2 KM LOCATION) BAB-1292: NEED TO SHIFT COORDINATES DUE GAS WELL RESTRICTION. BAB-1293: RECEIVED HO FROM GEODETICHS ON 18/01/18.",DENSE BELOW 18,,42,551.8,120,120,30,20,0.907
20/01/2018,BB-1047,BAB,"10,165.00","R-1: DISCUSSED CHEMICAL MIXING, SP2R# 2, LPR# 10 / GR# 10, ENERGY SAVING. R-2: PERFORMED COORDINATION MEETING FOR EAZ RIGS WITH DS AD-121 &         DS AD-61. R-3: WOB=20-25 KLBS; ROP=40-60 FT/HR; GPM=500; SPP=1200 PSI; RPM=120;          TQ=6-12 KLB*FT; R-4: WOB=15-25 KLBS; ROP=10-50 FT/HR; GPM=500; SPP=1300 PSI; RPM=120;          TQ=5-13 KLB*FT; R-5: PERFORMED WEEKLY SAFETY MEETING WITH DAYSHIFT CREW. DISCUSSED          RECENT INCIDENTS AND EMERGECNY RESPONSE ROLES.  NOTE: NEXT LOCATION: BB-1232. 0% READY. 2ND NEXT: BB-1241. 0% READY.",HAB'N ZONE-5,28/05/2014 3:00:00 AM,27.6,401.3,120,120,25,15,0.907
16/01/2018,BB-1214,BAB,"10,772.00","R-1: TRIP SHEET  / TRIPPING HAZARD,SP²R7/LPR#6 [R-2] REACHED PLANNED TD AND REPORTED TO GEOLOGIST TO CONFIRM THE TD. [R-3] HELD 87.5 DEG. INCLINATION  AND 9935'-9938' TVD  [R-4] DROPPED INCLINATION AND HELD AT 87.1 DEG. [R-5] DROPPED INCLINATION TO 86.8  DEG.   * SPR @ 10610 FT SYSTEM LOADED BY 2 PPB H2S SCAVENGER & 15 PPB RE-INFORCEMENT MATERIAL * MI SWACO REPLACED MS IN 8 1/2"" SECTION * HAWK JAW OF IRON ROUGHNECK BROKE DOWN ON 27-11-2017 AND WE STILL WAITING ON SPARE PART. USING MANUAL TONG AND CAT HEAD WHILE M/U B/D CONNECTION  NEXT LOCATION : BB-1220:  * LOCATION LEVELING BY ADNOC DRILLING : 80 % READY * 2 WATER WELLS REQEST SENT VIA E-RIG MOVE. REQ NO. 20223 * CELLAR IS NILL STOCK IN BAB-13 STORE * AL MUR CONDUCTOR DRIVEN BEING REQUESTED ON 19-01-2018  2ND NEXT LOCATION : BB-1300:  * NO INFORMATION - DIRECTIONAL PLAN TO BE CHECKED FOR COLLISION ISSUES ",THAMAMA ZONE G,28/12/2017 2:30:00 PM,33.2,501.6,110,120,30,20,0.907
19/01/2018,BB-1201,BAB,"6,016.00","R-1: DISCUSSED LPR#9 & SPPR#1\t\t\t\t\t\t\t R-2: WOB: 20-25 KIPS, 100 RPM, 400 GPM, 450 SCFM, 750-850 PSI.\t\t\t\t\t\t\t R-3: STOPPED DRILLING DUE TO SHORTAGE OF WATER\t\t\t\t\t\t\t R-4:  MEANWHILE COLLECTING WATER\t\t\t\t\t\t\t ",UMM ER RADHUMA F'MTN,6/1/2018 15:30,21.7,400,80,100,25,20,1.74
27/01/2018,BB-1201,BAB,"7,432.00","R-1 : PV TEST  SP2R9, LPR7 / GR 7 100 % HSE MEANS. R-2 : CONDUCTED H2S DRILL AND THERE WAS GOOD RESPONSE FROM THE CREW. R-3 : DRILLED FLOAT COLLAR , CEMENT , SHOE TRACK AND 10 FT OF NEW FORMATION AT 7185. R-4: PERFORMED SHOE BOND TEST TO 900 PS1. OK. R-5: R-4: OLD WELL BB-1163  HANDOVER IN PROGRESS, 'NEXT LOCATION BB 1236 IN PROGRESS 3 KM FROM CURRENT LOCATION  WAITING FOR GEO. + (TO GET MOVING ROAD HANDOVER, LOCATION HANDOVER ",MAUDDUD F'MTN,6/1/2018 15:30,31.9,393,50,60,15,5,0.907
29/01/2018,BB-1246,BAB,"1,566.00",R-1 :  DISCUSSED SPPR #03 MONITOR TORQUE AND DRAG ALL THE TIME & LPR #03 GAS TESTS,MIOCENE CLASTICS,27/01/2018 5:00:00 PM,52.6,702.3,70,70,20,15,0.785
30/01/2018,BB-1201,BAB,"10,284.00","R-1 : BOP TESTING  SP2R3, LPR10 / GR 10 OBSERVATIONS VS NEAR MISS. R-2: OLD WELL BB-1163  HANDOVER IN PROGRESS, 'NEXT LOCATION BB 1236 IN PROGRESS 3 KM FROM CURRENT LOCATION  WAITING FOR GEO. + (TO GET MOVING ROAD HANDOVER, LOCATION HANDOVER )",MAUDDUD F'MTN,6/1/2018 15:30,38,500,110,120,35,30,0.907
31/01/2018,BB-1128,BAB,"8,920.00","R-1: MONITOR DISPLACEMENT OF METAL WITH TRIP TANK AND TRIP SHEET.         NO LOSSES RECORDED.  R:2 - DISCUSSE WITH CREW LPR NO.9.          DISCUSSE WITH CREW FIVE BARRERS AND PERMIT TO WORK (JSA).  R:3- WOB:25 klb, FLOW: 230 GPM, SPP: 460 PSI, RPM 70,TORQUE: 2.5-3.5 ft-klb,          MW IN/OUT: 10.2 PPG. LOSSES OF 5 BPH.  R:4- MONITOR WITH TRIP SHEET AND TRIP TANK THE VOLUME OF DRILLING         FLUID USED TO FILL UP THE WELL. LOSSES 1.5 BPH.",THAMAMA ZONE C,25/12/2017 6:00:00 PM,5,230,70,70,30,25,
31/01/2018,BB-1047,BAB,"11,843.00","R-1: DISCUSSED FLARE & VENT LINES, SP2R# 04, LPR# 01 / GR# 01,          CHEMICAL HAZARDS. R-2: OBSERVED PRESSURE DROP. FUND LICKS IN LOWER BOP CLAMPS,          TEST PLUG SEAL & CEMENT LINE. FIXED ALL THEM. R-3: PRESSURE TEST SURFACE LINES TO 5000 PSI. -TESTED ANNULAR + HCR KILL & CHOKE VALVES + FOSV 300/5000 PSI-OK  NEXT LOCATION: -1ST NEXT LOCATION: BB-1232. ACCEPTED BY ADC TP FOR PREPARATION   ON 21/01/2018. 0% READY.  -2ND NEXT LOCATION: BB-1241. ACCEPTED BY ADC TP FOR PREPARATION    ON 21/01/2018. 0% READY.",BASE ARAB ZONE B,28/05/2014 3:00:00 AM,0,,,,,,0.907
5/1/2018,BB-1128,BAB,"4,826.00","R-1:LPR5/GR5 VALID PERMIT TO WORK R-2: 40-45 WOB,  80 RPM, 850-900 GPM (UER BASEL SHALE)   NEXT LOCATION: 1ST - HB2-INJ 17 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]  2ND- HB2-PR13 [WAITING FOR GEODATIC TEAM TO SHOW THE LOCATION]  ",UMM ER RADHUMA F'MTN,25/12/2017 6:00:00 PM,41.7,900,80,80,45,40,0.994
15/01/2018,BB-1214,BAB,"10,008.00","R-1: TRIPPING CHECK LIST / HSE INSPECTION FINDINGS,SP²R6/LPR#5 [R-2] SYSTEM LOADED BY 2 PPB H2S SCAVENGER & 15 PPB RE-INFORCEMENT MATERIAL [R-3] DISPLACED WITH FRESH    * SPR @ 9624 FT * MI SWACO REPLACED MS IN 8 1/2"" SECTION * HAWK JAW OF IRON ROUGHNECK BROKE DOWN ON 27-11-2017 AND WE STILL WAITING ON SPARE PART. USING MANUAL TONG AND CAT HEAD WHILE M/U B/D CONNECTION  NEXT LOCATION : BB-1220:  * UNDER ADNOC DRILLING PREPARING : 75 % READY * 2 WATER WELLS REQEST SENT VIA E-RIG MOVE. REQ NO. 20223 * CELLAR IS NILL STOCK IN BAB-13 STORE  2ND NEXT LOCATION : BB-1300:  * NO INFORMATION - DIRECTIONAL PLAN TO BE CHECKED FOR COLLISION ISSUES  ",THAMAMA UNIT-18,28/12/2017 2:30:00 PM,38,501.6,110,120,35,25,0.907
22/01/2018,BB-1228,BAB,"2,375.00","R-1: DISCUSSED LPR#2 & SPPR#4 \t\t\t\t\t\t R-2: 600 GPM & 40 RPM\t\t\t\t\t\t R-3: 1ST 120 FT BELOW SHOE WITH 750 GPM, 50-60 RPM, WOB: 5-15 KIPS, 1000 PSI\t\t\t\t\t\t R-4: STEPPED UP PARAMETERS GRADUALLY TO: 850-950 GPM, 90 RPM, 25-30 KIPS\t\t\t\t\t\t R-5: NO LOSSES\t\t\t\t\t\t NOTE: CONDUCTED 1ST TOP JOB IN 13-3/8"" x 18-5/8"" ANNULUS WITH 20 BBL OF ""G"" CEMENT (BY FILLING)\t\t\t\t\t\t ",DAMMAM F'MTN,17/01/2018 6:30:00 PM,108.3,850,85,85,15,5,1.037
31/01/2018,BB-1228,BAB,"8,070.00","R-1: DISCUSSED LPR#1 & SPPR#1\t\t R-2: 550 GPM, 80-130 RPM, 15-20 KIPS\t\t ",SHILAIF F'MTN,17/01/2018 6:30:00 PM,44.5,550,80,130,25,10,0.907
3/1/2018,BB-1128,BAB,"3,089.00","R-1: LPR3/GR3 CONDUCT GAS TEST WHEN EVER REQUIRED  R-2: GOOD RESPONSE FROM CREW  R-3:  45-50 WOB, 75 RPM, 800  GPM R-4:   INSPECTION ON DRAWWAORK DISC BRAKE AS PER THE MENAGMENT'S INSTRUCTION AFTER THE AD-114 INCIDENT.",UMM ER RADHUMA F'MTN,25/12/2017 6:00:00 PM,15.1,800,80,80,50,45,0.994
25/01/2018,BB-1207,BAB,"11,665.00","[R-1]\tDISCUSSED LPR# 5/GR# 5 (CONFINED SPACE ENTRY), SP2R RULE # 7 (USE RE-ENFORCEMENT MATERIAL ACROSS DEPLETED ZONES), BOP FUNCTION TESTING.   BAB-1217 \tRECEIVED HO FROM GEODETICHS ON 20/01/18 \tRECIEVED HO FROM BFS 210118 \tRECIEVED CICPA OFFICIAL NOTICE LOCATION 1.2 KM FROM CICPA CHECKPOINT ON 210118 \tNDC STARTED PREPARATION ON 210118 55% \tREQUESTED WW RIG FOR 280118 \tRIG MOVE ROAD FROM BAB-1207 TO BAB-1217 RECEIVED 230118 \tWAITING FOR BAB GEODETICHS FOR FLOWLINE ORIENTATION  BAB-1292: \tRECEIVED HO FROM GEODETICHS ON 23/01/18 \tRECEIVED HO FROM BFS ON 23/01/18 \tREQUESTED WW RIG TO ABANDON WW FOR 280118 BAB-1293\tRECEIVED HO FROM GEODETICHS ON 18/01/18 \tRECEIVED HO FROM BFS ON 19/01/18.",DENSE BELOW 18,,57.2,301,60,120,15,5,0.464
